,wordle_id,tweet_text
93,261,"Wordle 261 3/6

⬜🟨🟩⬜⬜
⬜🟨🟩🟩⬜
🟩🟩🟩🟩🟩 josh"
94,261,"Wordle 261 3/6

⬛🟨🟩⬛⬛
⬛🟨🟩⬛⬛
🟩🟩🟩🟩🟩
ya!"
95,261,"Wordle 261 3/6

🟨🟨⬛⬛⬛
🟨🟩🟩⬛🟨
🟩🟩🟩🟩🟩
toot"
96,261,"Wordle 261 4/6

🟨🟨⬛⬛⬛
⬛🟨🟨⬛⬛
⬛🟩🟩🟩🟩
🟩🟩🟩🟩🟩"
97,261,"Wordle 261 4/6

⬛⬛🟩🟩⬛
⬛🟨🟩🟩⬛
🟩⬛🟩🟩🟩
🟩🟩🟩🟩🟩"
98,261,"Wordle 261 6/6

⬛🟨🟩⬛⬛
⬛⬛🟩🟩⬛
⬛⬛🟩🟩⬛
🟨⬛🟩🟩⬛
⬛🟩🟩🟩🟩
🟩🟩🟩🟩🟩"
99,261,"Wordle 261 5/6

⬛⬛🟩⬛⬛
🟨🟨🟩⬛⬛
🟨🟩🟩🟨⬛
⬛🟩🟩🟩🟩
🟩🟩🟩🟩🟩"
100,261,"Wordle 261 3/6

🟨🟨⬛⬛⬛
⬛🟨🟨🟨🟩
🟩🟩🟩🟩🟩"
101,261,"Wordle 261 4/6

⬜🟨⬜🟨⬜
⬜🟨🟨🟨⬜
⬜🟩🟩🟩🟩
🟩🟩🟩🟩🟩
h0ard"
102,261,"Wordle 261 4/6

⬛🟨🟨⬛⬛
🟨🟩🟩🟨⬛
⬛🟩🟩🟩🟩
🟩🟩🟩🟩🟩"
103,261,"Wordle 261 4/6

🟨🟨🟩⬛⬛
🟨🟨🟨⬛🟨
🟨🟩🟩🟨⬛
🟩🟩🟩🟩🟩"
104,261,"Wordle 261 3/6

⬛🟩🟩⬛⬛
⬛🟩🟩⬛⬛
🟩🟩🟩🟩🟩"
105,261,"Wordle 261 3/6

⬛🟩🟩⬛⬛
🟩🟩🟩🟩⬛
🟩🟩🟩🟩🟩"
106,261,"Wordle 261 3/6

🟨🟨⬛⬛⬛
⬛🟨🟨🟨🟩
🟩🟩🟩🟩🟩"
107,261,"Wordle 261 5/6

⬛⬛🟨⬛⬛
⬛🟩⬛🟨🟨
🟨🟨⬛⬛🟨
🟨🟩⬛🟩⬛
🟩🟩🟩🟩🟩

#wordle #Wordle261"
108,261,"Wordle 261 3/6

⬛🟩⬛⬛⬛
⬛🟩🟩⬛⬛
🟩🟩🟩🟩🟩"
109,261,"Wordle 261 5/6

⬛🟨🟨⬛⬛
⬛🟩⬛⬛🟨
🟩🟩⬛⬛🟨
🟩🟩🟩🟩⬛
🟩🟩🟩🟩🟩"
110,261,"Wordle 261 4/6

⬛⬛⬛⬛⬛
⬛🟨🟩⬛🟨
⬛🟨🟩⬛🟨
🟩🟩🟩🟩🟩"
111,261,"Wordle 261 4/6

⬜⬜⬜⬜🟨
🟩⬜🟩⬜⬜
🟩🟩🟩🟩⬜
🟩🟩🟩🟩🟩"
112,261,"Wordle 261 2/6

🟨⬛⬛⬛⬛
🟩🟩🟩🟩🟩

think i got lucky cuz my grandmother cell for this word had been activated just like 90 seconds prior"
113,261,"Wordle 261 3/6

⬛🟨🟩⬛⬛
🟨🟩🟩⬛🟨
🟩🟩🟩🟩🟩"
114,261,"Wordle 261 3/6

⬛⬛🟨⬛🟨
🟩🟨🟨⬛⬛
🟩🟩🟩🟩🟩"
115,261,"Wordle 261 3/6

⬛🟨🟨⬛⬛
🟨🟩🟩⬛⬛
🟩🟩🟩🟩🟩"
116,261,"Wordle 261 5/6

⬛🟩🟨⬛⬛
⬛🟩⬛⬛🟨
🟨🟩⬛⬛🟩
⬛🟩🟩🟩🟩
🟩🟩🟩🟩🟩"
117,261,"Wordle 261 2/6

⬛🟩⬛🟩⬛
🟩🟩🟩🟩🟩"
118,261,"Wordle 261 2/6

⬜🟩⬜⬜🟩
🟩🟩🟩🟩🟩"
119,261,"Wordle 261 5/6

⬛⬛⬛🟨⬛
⬛🟨⬛🟨🟩
⬛🟨🟩⬛🟩
⬛🟨🟩🟩🟩
🟩🟩🟩🟩🟩"
120,261,"Wordle 261 4/6

🟨⬛🟨⬛⬛
⬛🟩🟩⬛⬛
⬛🟩🟩⬛🟩
🟩🟩🟩🟩🟩"
121,261,"Wordle 261 3/6

⬛🟨🟩⬛⬛
🟨⬛⬛⬛🟨
🟩🟩🟩🟩🟩

Wordle doesn’t think ‘bitch’ is a real word apparently."
122,261,"Wordle 261 5/6

⬛🟩⬛⬛⬛
🟨🟨⬛🟨⬛
🟨🟩🟩🟨⬛
⬛🟨🟨🟨🟩
🟩🟩🟩🟩🟩"
123,261,"Wordle 261 4/6

⬛🟨⬛⬛⬛
🟩⬛⬛⬛⬛
🟩🟩⬛⬛⬛
🟩🟩🟩🟩🟩"
124,261,"Wordle 261 2/6

⬜🟩🟩🟩🟩
🟩🟩🟩🟩🟩

I’m proud of this one lmao"
125,261,"Wordle 261 3/6

🟨🟩⬛⬛⬛
⬛🟩⬛🟨🟨
🟩🟩🟩🟩🟩"
126,261,"Wordle 261 3/6

⬛🟨🟨⬛⬛
⬛🟩🟩🟩🟩
🟩🟩🟩🟩🟩"
127,261,"Wordle 261 5/6

⬛🟨🟩⬛⬛
⬛🟩⬛⬛⬛
🟨🟩🟩🟨⬛
⬛🟩🟩🟩🟩
🟩🟩🟩🟩🟩"
128,261,"Wordle 261 5/6

⬛🟨🟨⬛⬛
⬛🟩⬛⬛⬛
🟨🟩⬛🟨⬛
⬛🟩🟩🟩🟩
🟩🟩🟩🟩🟩"
129,261,"Wordle 261 4/6

⬛⬛⬛⬛⬛
⬛🟨🟨⬛⬛
⬛⬛🟩🟩⬛
🟩🟩🟩🟩🟩 nigg"
130,261,"Wordle 261 4/6

🟩⬛⬛⬛⬛
🟩🟨⬛⬛⬛
🟩⬛🟩⬛⬛
🟩🟩🟩🟩🟩"
131,261,"Wordle 261 3/6

⬛⬛🟨⬛🟩
⬛🟩🟩🟩🟩
🟩🟩🟩🟩🟩"
132,261,"Wordle 261 2/6

⬜🟨🟨🟨🟩
🟩🟩🟩🟩🟩"
133,261,"Wordle 261 3/6

⬛⬛⬛⬛🟨
🟨🟩⬛⬛🟩
🟩🟩🟩🟩🟩"
134,261,"Wordle 261 3/6

⬛🟨⬛⬛🟨
🟩⬛🟩🟩⬛
🟩🟩🟩🟩🟩"
135,261,"Wordle 261 3/6

🟨⬛🟨⬛🟨
⬛🟩🟩🟩🟩
🟩🟩🟩🟩🟩"
136,261,"Wordle 261 3/6

⬛⬛🟩🟩⬛
⬛🟨🟩🟩⬛
🟩🟩🟩🟩🟩"
137,261,"Wordle 261 3/6

⬛🟩⬛⬛🟨
⬛🟩🟩⬛🟨
🟩🟩🟩🟩🟩"
138,261,"Wordle 261 3/6

⬜🟨⬜⬜🟨
🟩⬜🟩🟩⬜
🟩🟩🟩🟩🟩"
139,261,"Wordle 261 4/6

🟨⬜🟨⬜⬜
⬜🟩🟩⬜⬜
⬜🟩🟩🟩🟩
🟩🟩🟩🟩🟩

😒"
140,261,"Wordle 261 4/6

🟨⬛🟨⬛🟨
🟨🟩⬛🟨⬛
🟨🟩🟩🟨⬛
🟩🟩🟩🟩🟩"
141,261,"Wordle 261 4/6

🟨🟨⬛⬛⬛
🟨🟩⬛⬛🟩
⬛🟩🟩🟩🟩
🟩🟩🟩🟩🟩"
142,261,"Wordle 261 4/6

⬛⬛🟩⬛⬛
⬛🟨🟩⬛⬛
🟩⬛🟩🟩🟩
🟩🟩🟩🟩🟩"
143,261,"Wordle 261 2/6

🟩⬛🟩🟩🟩
🟩🟩🟩🟩🟩"
144,261,"Wordle 261 4/6

⬛🟨🟩⬛🟨
⬛🟨⬛⬛🟨
⬛🟨🟩🟩⬛
🟩🟩🟩🟩🟩"
145,261,"Wordle 261 3/6

🟨⬜⬜⬜⬜
⬜🟨🟩⬜⬜
🟩🟩🟩🟩🟩"
146,261,"Wordle 261 3/6

⬛🟨🟩⬛⬛
⬛🟩⬛⬛🟨
🟩🟩🟩🟩🟩"
147,261,"Wordle 261 3/6

⬛⬛🟩🟩⬛
⬛🟨🟩🟩⬛
🟩🟩🟩🟩🟩"
148,261,"Wordle 261 3/6

⬛🟩🟨⬛🟨
⬛🟩🟩🟩🟩
🟩🟩🟩🟩🟩"
149,261,"Wordle 261 6/6

⬛⬛🟩⬛⬛
⬛🟨🟩⬛⬛
⬛🟨🟩⬛⬛
🟩🟩🟩🟩⬛
🟩🟩🟩🟩⬛
🟩🟩🟩🟩🟩"
150,261,"Wordle 261 5/6

⬛🟨⬛⬛⬛
⬛🟨⬛⬛⬛
⬛🟨🟩⬛⬛
⬛🟩🟩🟩🟩
🟩🟩🟩🟩🟩"
151,261,"Wordle 261 5/6

🟨⬜🟨⬜⬜
⬜⬜🟨🟨⬜
⬜🟨⬜🟨🟨
🟨🟩🟩🟨⬜
🟩🟩🟩🟩🟩
Monday the #WORDLE  taught me again that it matters which word I begin with.🤣"
152,261,"Wordle 261 4/6

⬛🟨🟩⬛⬛
🟨⬛🟩⬛🟨
⬛🟨🟩🟩⬛
🟩🟩🟩🟩🟩"
153,261,"Wordle 261 3/6

⬛⬛⬛🟨⬛
🟩⬛⬛🟨🟨
🟩🟩🟩🟩🟩"
154,261,"Wordle 261 4/6

⬛🟩⬛⬛🟨
🟨🟩🟩⬛⬛
⬛🟩🟩🟩🟩
🟩🟩🟩🟩🟩"
155,261,"Wordle 261 3/6

⬛🟩🟨⬛⬛
🟨🟩🟩🟨⬛
🟩🟩🟩🟩🟩"
156,261,"Wordle 261 2/6

⬛🟨🟩🟨⬛
🟩🟩🟩🟩🟩"
157,261,"Wordle 261 5/6

⬛🟨⬛🟨🟩
🟨🟨⬛⬛🟩
⬛⬛🟩🟩🟩
⬛🟨🟩🟩🟩
🟩🟩🟩🟩🟩"
158,261,"Wordle 261 4/6

⬛🟨🟩⬛⬛
⬛🟨🟩⬛🟨
🟩⬛🟩🟩⬛
🟩🟩🟩🟩🟩"
159,261,"Wordle 261 3/6

⬜🟨🟩🟩⬜
🟩⬜🟩🟩⬜
🟩🟩🟩🟩🟩"
160,261,"Wordle 261 5/6

🟨🟨⬛⬛⬛
🟨🟨⬛🟨⬛
⬛🟩🟩🟨⬛
⬛🟩🟩🟩🟩
🟩🟩🟩🟩🟩"
161,261,"Wordle 261 4/6

🟨🟨⬛⬛⬛
⬛⬛⬛⬛🟨
⬛⬛🟨🟩⬛
🟩🟩🟩🟩🟩"
162,261,"Wordle 261 4/6

⬜⬜⬜⬜⬜
🟨⬜🟨⬜⬜
⬜🟩🟩🟩🟩
🟩🟩🟩🟩🟩"
163,261,"Wordle 261 2/6

⬛🟨🟨⬛🟨
🟩🟩🟩🟩🟩"
164,261,"Wordle 261 3/6

⬜⬜🟩🟩⬜
⬜🟨🟩🟩🟩
🟩🟩🟩🟩🟩

my neighbor does this"
165,261,"Wordle 261 4/6

⬛⬛⬛⬛⬛
⬛🟨⬛🟨🟨
🟨🟨🟨⬛🟩
🟩🟩🟩🟩🟩"
166,261,"Wordle 261 3/6

⬜🟨🟨⬜⬜
🟩🟩🟨⬜⬜
🟩🟩🟩🟩🟩"
167,261,"Wordle 261 6/6

⬜⬜⬜🟩⬜
⬜⬜🟨⬜⬜
⬜🟩⬜🟩⬜
⬜🟩⬜🟩⬜
⬜🟩🟩🟩🟩
🟩🟩🟩🟩🟩"
